+0.570138	+12.601428	-0.840200	+0.410754	+0.373691	+0.000000	+0.004329	+0.021129	+0.449010	-0.045744	+0.291359	-0.284622	+6.171158	-2.457167
+0.020033	-1.175872	-0.201683	-0.127159	-0.108904	-0.514124	-0.154717	-0.008914	+0.094244	-0.008988	-0.172971	-0.022600	+0.172546	+0.035862
+0.000000	+0.000000	+0.157997	+0.000000	+0.222705	+0.000000	+0.000000	+0.000000	-0.058051	+0.206423	+0.000000	+0.051892	+0.000000	+0.000000
-0.620673	+10.959704	+4.970301	+2.181213	+0.789910	+3.800819	+1.118963	+0.378739	+0.000000	+0.080962	+1.783872	+0.061089	-1.229849	-0.083195
-1.218287	+9.317160	+2.426533	+0.287855	+0.709695	+5.939396	+2.352479	+0.729046	-0.606725	+0.352191	+1.006268	+1.346009	-4.607545	-3.323423
+0.000000	+0.000000	-1.993691	-0.434374	+0.000000	+0.000000	+0.000000	-0.163766	+0.000000	+0.003922	-0.221417	+0.000000	+0.000000	+0.000000
+1.827817	+5.594070	-3.770663	+0.000000	+0.000000	+0.381486	+0.114461	-0.402910	+0.506748	-0.019561	-0.225449	-0.168493	+1.903878	-1.477958
+2.583754	+0.000000	-2.047305	-2.789850	-1.225610	-0.325996	+0.000000	-1.017277	+0.000000	+0.000000	-2.321571	+0.000000	+7.849444	+0.569755
-1.124878	+1.678438	+0.000000	+0.353287	+0.704852	+2.045604	+0.739577	+0.034810	-1.053365	+0.142725	+0.312063	+0.578034	-4.958292	+0.110435
-2.268159	-23.649001	+12.958011	+6.318181	-0.001449	-5.797822	-2.675748	+0.992388	-0.766890	-2.860930	+5.539417	-3.310330	-0.401701	+0.346726
+0.114768	-6.234345	-2.502803	-0.696932	-0.861710	-4.090656	-1.429665	-0.380017	-0.181053	-0.510805	-1.168547	-0.492309	+1.820099	+1.643400
-2.654644	+22.206527	+10.761954	+2.483444	+1.522908	+9.614522	+3.159686	+2.140766	+1.557403	+1.520444	+3.722798	+1.507885	-5.279072	-3.508742
-0.011463	+0.290116	-0.007730	+0.000000	-0.014196	+0.500938	+0.201120	+0.000201	+0.000000	+0.014613	+0.000000	+0.019022	-1.059883	+0.007480
+0.000000	+0.000000	+0.000000	+0.000000	+0.000000	+0.000000	+0.000000	+0.000000	+0.000000	+0.000000	+0.000000	+0.000000	+0.000000	+0.000000
