Affy_ID	T0_1	KCl_1_3m	KCl_1_6m	KCl_1_9m	KCl_1_12m	KCl_1_15m	KCl_1_20m	T0_2	KCl_2_3m	KCl_2_6m	KCl_2_9m	KCl_2_12m	KCl_2_15m	KCl_2_20m	T0_1	KNO3_1_3m	KNO3_1_6m	KNO3_1_9m	KNO3_1_12m	KNO3_1_15m	KNO3_1_20m	T0_2	KNO3_2_3m	KNO3_2_6m	KNO3_2_9m	KNO3_2_12m	KNO3_2_15m	KNO3_2_20m
AT3G07340	518.5975278	267.5667926	311.7116486	395.3413964	524.2680928	411.1723882	376.1207646	455.9979546	221.6736773	326.7323659	353.8853417	412.1231884	487.8431871	416.2701613	518.5975278	341.5032494	186.2925536	485.1603092	446.1924135	405.3163246	710.2642432	455.9979546	322.4136975	259.9715689	449.3805919	640.7550207	340.3061507	674.0039479
AT3G46130	513.7713751	361.7665242	522.8826375	356.4928975	282.7174216	334.4941308	339.0315653	312.5862369	157.5221304	512.2420102	315.9024079	294.0568334	344.6938548	341.9701619	513.7713751	353.8526742	382.2703977	543.0929143	523.5207395	812.0732811	945.8422768	312.5862369	196.1111164	308.3754833	476.1222872	1388.015092	667.4261685	897.2398439
AT3G49760	660.2360268	405.8840201	356.7013759	646.1095974	747.4924094	527.641227	747.2783895	754.3425463	294.3148702	385.7846796	670.2416051	639.4403035	657.5223997	623.444244	660.2360268	481.6237612	364.0723448	898.270513	1050.352723	925.2929305	1217.851755	754.3425463	432.5435726	395.2410579	826.1500958	1309.793086	802.2887	1369.083198
AT3G57390	156.063983	186.0842422	131.5136831	151.1936819	226.7986721	222.4444212	184.1643723	140.4169938	180.9593304	106.8045104	188.2547346	173.3613749	169.1721434	150.3042353	156.063983	127.5258451	79.9065111	135.5809231	138.4243384	151.7055411	162.8228846	140.4169938	142.5885778	111.1875259	154.5131863	106.3210953	113.8984461	174.9932474
AT3G60490	159.2170405	188.3300516	226.4094271	226.619066	205.7701904	173.2280602	212.8185855	174.4576735	259.4500203	250.3864286	198.899487	240.5098798	181.5125823	203.1730104	159.2170405	198.6823456	237.5966754	170.4882319	150.0155658	168.7772625	150.8381653	174.4576735	158.4115884	216.2011153	156.8333395	156.214231	167.6743622	134.1441682
AT4G24020	359.4808038	458.0502562	513.6069876	460.4814366	401.6840587	389.9397742	337.366522	329.0810682	293.6929749	582.0251586	382.721895	300.4467862	390.7794794	405.9450993	359.4808038	373.4664397	521.9094054	477.3122741	521.2951781	611.436926	693.5494252	329.0810682	277.1422183	428.2080827	428.9753349	576.9482072	664.5812009	674.1339502
AT4G34000	1238.078468	1070.804144	1209.193692	1166.808283	1354.678833	1267.261876	874.5115243	1089.175369	1006.908636	859.6140152	1256.929217	1300.17213	1316.931123	969.489936	1238.078468	967.4435352	711.8552573	1069.541792	1379.999041	1432.97593	1966.060036	1089.175369	1022.877464	777.1832263	948.9047593	1289.353275	1760.42565	2114.118869
AT4G36540	139.2396288	198.0683984	168.4915113	161.9061686	119.4312838	152.6879433	126.7682364	124.1547341	226.5028222	305.4344044	156.1474376	121.4416153	94.94130946	135.9673213	139.2396288	190.0029874	218.0092274	161.8275811	179.3659386	269.4482573	295.8764814	124.1547341	122.606011	229.2144189	175.4740515	461.6937274	198.8680241	279.8117798
AT4G37180	44.51405276	12.7953921	17.93624487	53.95374379	66.06442435	89.91944801	61.18482006	59.47268398	44.46294658	20.23971596	50.37726712	21.95069272	66.10613249	74.97891755	44.51405276	29.92293157	10.80810356	53.19138555	112.3337377	173.5491801	118.9471896	59.47268398	9.343702913	20.23545853	59.06629861	146.9738969	110.2802564	143.6734597
AT5G10030	273.8574732	146.097671	171.4003324	238.7998811	259.508395	307.765603	300.2513621	264.7507484	121.4385931	239.9101596	248.6369858	306.9917599	242.095292	280.4845755	273.8574732	271.4052291	269.8518995	311.6692531	387.3962188	385.543115	536.7429864	264.7507484	223.1022791	259.4899583	283.9909542	192.7067501	346.3610721	517.0383917
